Gender,Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Past_Gift_Item,Past_Gift_Reaction,Recent_Purchase_1,Recent_Purchase_2,Recent_Purchase_3,Best_Gift
Female,20,Single,Very High,Anniversary,Surprise,5+ years,Art,Fashion Accessory,Disliked it,Handbag,Earrings,Necklace,Personalized Gift
Male,56,Dating,Low,Valentine's Day,Sentimental,<6 months,Technology,Tech Gadget,Disliked it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Male,27,Engaged,Medium,Birthday,Practical,6-12 months,Technology,Fashion Accessory,Liked it,Processor Chip,Headphones,Phone Charger,Tech Gadget
Male,45,Married,Medium,Just Because,Romantic,6-12 months,Cooking,Subscription Service,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Flowers
Male,51,Married,High,Just Because,Adventurous,6-12 months,Music,Chocolates,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Female,57,Married,High,Anniversary,Adventurous,3-5 years,Technology,Subscription Service,Disliked it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Other,27,Engaged,Medium,Valentine's Day,Romantic,5+ years,Sports,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Male,41,Engaged,Very High,Birthday,Surprise,6-12 months,Music,Personalized Gift,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Other,36,Engaged,Low,Just Because,Romantic,1-3 years,Cooking,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Female,30,Engaged,Very High,Just Because,Adventurous,6-12 months,Technology,Tech Gadget,Disliked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Female,42,Single,High,Birthday,Practical,5+ years,Technology,Tech Gadget,Disliked it,Processor Chip,Headphones,Phone Charger,Chocolates
Female,57,Married,Very High,Birthday,Romantic,3-5 years,Music,Fashion Accessory,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Male,27,Single,Medium,Birthday,Surprise,5+ years,Cooking,Fashion Accessory,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Male,25,Married,Medium,Birthday,Practical,1-3 years,Music,Chocolates,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Flowers
Male,35,Married,Medium,Just Because,Romantic,1-3 years,Cooking,Flowers,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Tech Gadget
Male,52,Married,Very High,Birthday,Surprise,1-3 years,Art,Personalized Gift,Liked it,Hat,Handbag,Earrings,Subscription Service
Male,40,Single,High,Birthday,Surprise,5+ years,Music,Tech Gadget,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Female,31,Single,Very High,Valentine's Day,Romantic,3-5 years,Art,Fashion Accessory,Disliked it,Handbag,Earrings,Necklace,Personalized Gift
Male,45,Engaged,Very High,Just Because,Sentimental,5+ years,Music,Fashion Accessory,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Female,53,Dating,Low,Anniversary,Surprise,1-3 years,Sports,Personalized Gift,Loved it,Smart Speaker,Processor Chip,Headphones,Fashion Accessory
Female,58,Dating,High,Birthday,Practical,6-12 months,Art,Chocolates,Loved it,Handbag,Earrings,Necklace,Flowers
Male,28,Married,Low,Birthday,Surprise,1-3 years,Fashion,Tech Gadget,Disliked it,Earrings,Necklace,Hat,Fashion Accessory
Other,46,Single,High,Birthday,Surprise,5+ years,Sports,Personalized Gift,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,45,Engaged,Very High,Just Because,Sentimental,5+ years,Music,Fashion Accessory,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Female,40,Engaged,Low,Just Because,Surprise,5+ years,Music,Flowers,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Female,21,Engaged,Medium,Just Because,Romantic,3-5 years,Sports,Personalized Gift,Disliked it,Smart Speaker,Processor Chip,Headphones,Flowers
Female,35,Married,Medium,Anniversary,Romantic,6-12 months,Fashion,Chocolates,Loved it,Handbag,Earrings,Necklace,Flowers
Female,42,Engaged,High,Anniversary,Surprise,5+ years,Art,Subscription Service,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Other,24,Dating,High,Birthday,Practical,5+ years,Music,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Other,56,Married,High,Anniversary,Practical,1-3 years,Music,Fashion Accessory,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Male,59,Engaged,Low,Just Because,Romantic,<6 months,Music,Tech Gadget,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Flowers
Other,32,Married,Very High,Valentine's Day,Surprise,6-12 months,Music,Flowers,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Other,22,Married,Low,Just Because,Romantic,1-3 years,Technology,Tech Gadget,Disliked it,Headphones,Phone Charger,Smart Speaker,Subscription Service
Male,29,Engaged,High,Anniversary,Surprise,1-3 years,Technology,Fashion Accessory,Loved it,Phone Charger,Smart Speaker,Processor Chip,Tech Gadget
Female,45,Dating,Very High,Birthday,Adventurous,1-3 years,Music,Flowers,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Male,31,Married,High,Just Because,Romantic,1-3 years,Sports,Tech Gadget,Liked it,Phone Charger,Smart Speaker,Processor Chip,Flowers
Other,56,Married,High,Valentine's Day,Romantic,<6 months,Music,Personalized Gift,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,53,Married,Low,Just Because,Sentimental,<6 months,Music,Subscription Service,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Female,53,Engaged,High,Just Because,Sentimental,<6 months,Cooking,Personalized Gift,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Female,48,Dating,Very High,Anniversary,Romantic,5+ years,Sports,Subscription Service,Disliked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,32,Married,Very High,Valentine's Day,Surprise,6-12 months,Music,Flowers,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Male,51,Dating,Very High,Valentine's Day,Surprise,1-3 years,Sports,Chocolates,Loved it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Male,59,Engaged,Very High,Anniversary,Adventurous,1-3 years,Cooking,Subscription Service,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Male,45,Dating,Very High,Birthday,Adventurous,1-3 years,Music,Chocolates,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Female,59,Dating,Very High,Birthday,Adventurous,1-3 years,Art,Chocolates,Loved it,Necklace,Hat,Handbag,Personalized Gift
Female,42,Dating,Medium,Anniversary,Practical,1-3 years,Fashion,Subscription Service,Loved it,Earrings,Necklace,Hat,Chocolates
Male,25,Engaged,Low,Just Because,Adventurous,5+ years,Fashion,Subscription Service,Liked it,Handbag,Earrings,Necklace,Fashion Accessory
Female,45,Dating,Low,Valentine's Day,Surprise,6-12 months,Technology,Tech Gadget,Disliked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Male,55,Married,Very High,Valentine's Day,Surprise,5+ years,Fashion,Subscription Service,Loved it,Necklace,Hat,Handbag,Personalized Gift
Female,52,Single,Very High,Anniversary,Romantic,3-5 years,Cooking,Chocolates,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Other,54,Single,High,Valentine's Day,Sentimental,5+ years,Art,Personalized Gift,Disliked it,Handbag,Earrings,Necklace,Subscription Service
Female,45,Engaged,Medium,Anniversary,Romantic,1-3 years,Fashion,Chocolates,Loved it,Necklace,Hat,Handbag,Flowers
Female,24,Married,Medium,Valentine's Day,Surprise,<6 months,Sports,Fashion Accessory,Liked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Female,58,Dating,Very High,Just Because,Practical,5+ years,Art,Chocolates,Liked it,Earrings,Necklace,Hat,Personalized Gift
Male,21,Engaged,Very High,Anniversary,Sentimental,<6 months,Music,Tech Gadget,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Male,53,Engaged,High,Birthday,Sentimental,6-12 months,Sports,Subscription Service,Loved it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Female,42,Engaged,High,Just Because,Romantic,6-12 months,Music,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Tech Gadget
Female,55,Engaged,Medium,Just Because,Practical,5+ years,Fashion,Tech Gadget,Loved it,Earrings,Necklace,Hat,Chocolates
Male,29,Dating,Very High,Anniversary,Practical,3-5 years,Sports,Personalized Gift,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,28,Single,High,Birthday,Practical,3-5 years,Music,Fashion Accessory,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Chocolates
Male,60,Married,High,Valentine's Day,Practical,5+ years,Music,Flowers,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Chocolates
Other,37,Engaged,Low,Valentine's Day,Surprise,5+ years,Technology,Personalized Gift,Loved it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Female,46,Single,Low,Anniversary,Surprise,5+ years,Fashion,Tech Gadget,Disliked it,Hat,Handbag,Earrings,Fashion Accessory
Other,48,Engaged,Very High,Just Because,Adventurous,3-5 years,Music,Fashion Accessory,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Male,20,Married,Low,Birthday,Sentimental,3-5 years,Fashion,Fashion Accessory,Liked it,Hat,Handbag,Earrings,Personalized Gift
Female,60,Dating,Very High,Birthday,Romantic,5+ years,Fashion,Chocolates,Loved it,Hat,Handbag,Earrings,Personalized Gift
Other,22,Married,Medium,Birthday,Romantic,<6 months,Technology,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,35,Single,High,Birthday,Romantic,5+ years,Music,Tech Gadget,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Flowers
Female,55,Married,Low,Just Because,Adventurous,3-5 years,Sports,Personalized Gift,Loved it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Other,26,Single,High,Anniversary,Sentimental,1-3 years,Cooking,Flowers,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Female,27,Engaged,Low,Birthday,Practical,6-12 months,Art,Subscription Service,Disliked it,Hat,Handbag,Earrings,Chocolates
Male,23,Married,High,Valentine's Day,Sentimental,1-3 years,Fashion,Personalized Gift,Loved it,Handbag,Earrings,Necklace,Fashion Accessory
Other,32,Engaged,Medium,Just Because,Sentimental,1-3 years,Sports,Chocolates,Loved it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Female,21,Single,Low,Just Because,Sentimental,6-12 months,Music,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Other,49,Dating,Low,Anniversary,Sentimental,5+ years,Technology,Tech Gadget,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Female,52,Single,High,Birthday,Sentimental,1-3 years,Fashion,Flowers,Loved it,Necklace,Hat,Handbag,Fashion Accessory
Male,35,Engaged,Medium,Anniversary,Adventurous,<6 months,Cooking,Chocolates,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Male,25,Married,Medium,Birthday,Sentimental,6-12 months,Technology,Tech Gadget,Loved it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Male,41,Engaged,Very High,Birthday,Surprise,6-12 months,Music,Personalized Gift,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Male,49,Married,Very High,Valentine's Day,Sentimental,<6 months,Art,Tech Gadget,Loved it,Earrings,Necklace,Hat,Personalized Gift
Other,30,Dating,Low,Birthday,Practical,5+ years,Cooking,Tech Gadget,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Other,27,Single,High,Birthday,Sentimental,6-12 months,Art,Chocolates,Loved it,Earrings,Necklace,Hat,Subscription Service
Male,21,Single,High,Birthday,Practical,1-3 years,Art,Personalized Gift,Disliked it,Handbag,Earrings,Necklace,Chocolates
Male,43,Dating,Low,Birthday,Adventurous,3-5 years,Music,Personalized Gift,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Other,57,Married,Medium,Just Because,Practical,3-5 years,Technology,Tech Gadget,Liked it,Processor Chip,Headphones,Phone Charger,Subscription Service
Female,32,Single,Low,Anniversary,Surprise,1-3 years,Art,Subscription Service,Loved it,Necklace,Hat,Handbag,Fashion Accessory
Other,46,Engaged,Very High,Valentine's Day,Practical,<6 months,Art,Flowers,Disliked it,Hat,Handbag,Earrings,Personalized Gift
Other,36,Dating,Low,Just Because,Surprise,5+ years,Sports,Flowers,Liked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Female,49,Single,Medium,Just Because,Romantic,<6 months,Art,Flowers,Loved it,Necklace,Hat,Handbag,Tech Gadget
Male,40,Engaged,Medium,Just Because,Adventurous,5+ years,Technology,Subscription Service,Loved it,Headphones,Phone Charger,Smart Speaker,Tech Gadget
Female,31,Engaged,Low,Anniversary,Sentimental,<6 months,Fashion,Flowers,Loved it,Earrings,Necklace,Hat,Fashion Accessory
Female,29,Single,High,Birthday,Surprise,6-12 months,Sports,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Male,20,Married,High,Just Because,Sentimental,1-3 years,Cooking,Chocolates,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Female,40,Engaged,Medium,Valentine's Day,Practical,<6 months,Art,Chocolates,Loved it,Hat,Handbag,Earrings,Flowers
Male,44,Single,Medium,Birthday,Practical,1-3 years,Sports,Chocolates,Loved it,Headphones,Phone Charger,Smart Speaker,Flowers
Other,56,Married,Low,Birthday,Sentimental,6-12 months,Technology,Tech Gadget,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Other,35,Single,Medium,Birthday,Practical,3-5 years,Sports,Personalized Gift,Disliked it,Headphones,Phone Charger,Smart Speaker,Subscription Service
Male,26,Married,High,Just Because,Romantic,6-12 months,Art,Fashion Accessory,Disliked it,Earrings,Necklace,Hat,Flowers
Other,48,Dating,Medium,Valentine's Day,Adventurous,5+ years,Art,Fashion Accessory,Loved it,Handbag,Earrings,Necklace,Subscription Service
Female,43,Married,Low,Just Because,Adventurous,3-5 years,Music,Chocolates,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Female,41,Single,High,Just Because,Romantic,5+ years,Cooking,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Tech Gadget
Other,41,Dating,High,Birthday,Adventurous,6-12 months,Fashion,Tech Gadget,Disliked it,Earrings,Necklace,Hat,Subscription Service
Female,42,Engaged,Medium,Just Because,Surprise,5+ years,Art,Chocolates,Disliked it,Necklace,Hat,Handbag,Fashion Accessory
Male,22,Engaged,High,Just Because,Sentimental,<6 months,Sports,Tech Gadget,Liked it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Male,21,Engaged,Very High,Anniversary,Sentimental,<6 months,Music,Tech Gadget,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Female,21,Single,Low,Just Because,Sentimental,6-12 months,Music,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Female,57,Single,Medium,Birthday,Romantic,6-12 months,Fashion,Fashion Accessory,Disliked it,Necklace,Hat,Handbag,Flowers
Female,30,Engaged,Very High,Just Because,Adventurous,6-12 months,Technology,Tech Gadget,Disliked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,56,Single,High,Birthday,Surprise,<6 months,Technology,Personalized Gift,Disliked it,Processor Chip,Headphones,Phone Charger,Tech Gadget
Other,38,Single,Low,Anniversary,Sentimental,3-5 years,Cooking,Chocolates,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Male,55,Engaged,Medium,Anniversary,Adventurous,1-3 years,Technology,Chocolates,Disliked it,Processor Chip,Headphones,Phone Charger,Tech Gadget
Other,47,Married,Very High,Anniversary,Sentimental,3-5 years,Sports,Subscription Service,Disliked it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Male,41,Engaged,Very High,Birthday,Surprise,6-12 months,Music,Personalized Gift,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Other,35,Dating,Medium,Birthday,Practical,6-12 months,Fashion,Personalized Gift,Loved it,Handbag,Earrings,Necklace,Subscription Service
Other,24,Single,Very High,Valentine's Day,Practical,5+ years,Music,Tech Gadget,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Male,52,Single,Medium,Valentine's Day,Romantic,3-5 years,Technology,Tech Gadget,Liked it,Smart Speaker,Processor Chip,Headphones,Tech Gadget
Male,59,Dating,Low,Just Because,Practical,<6 months,Art,Subscription Service,Loved it,Hat,Handbag,Earrings,Chocolates
Female,46,Married,High,Anniversary,Practical,6-12 months,Cooking,Subscription Service,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Chocolates
Male,27,Engaged,Very High,Just Because,Practical,5+ years,Sports,Fashion Accessory,Liked it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Other,59,Engaged,Medium,Anniversary,Romantic,5+ years,Cooking,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Male,56,Dating,Low,Birthday,Sentimental,1-3 years,Art,Tech Gadget,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Female,60,Dating,Very High,Birthday,Romantic,5+ years,Fashion,Chocolates,Loved it,Hat,Handbag,Earrings,Personalized Gift
Female,55,Dating,Very High,Birthday,Practical,1-3 years,Sports,Chocolates,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,25,Married,Very High,Anniversary,Romantic,5+ years,Fashion,Fashion Accessory,Liked it,Necklace,Hat,Handbag,Personalized Gift
Other,42,Dating,Low,Anniversary,Surprise,5+ years,Cooking,Personalized Gift,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,39,Married,High,Anniversary,Adventurous,<6 months,Art,Tech Gadget,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Other,27,Married,High,Anniversary,Adventurous,1-3 years,Cooking,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Other,42,Engaged,High,Just Because,Sentimental,3-5 years,Fashion,Tech Gadget,Loved it,Earrings,Necklace,Hat,Subscription Service
Male,59,Engaged,Very High,Anniversary,Adventurous,1-3 years,Cooking,Subscription Service,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Female,21,Dating,Very High,Just Because,Romantic,<6 months,Technology,Subscription Service,Loved it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Male,34,Married,High,Just Because,Romantic,6-12 months,Sports,Chocolates,Loved it,Processor Chip,Headphones,Phone Charger,Flowers
Other,28,Engaged,High,Just Because,Surprise,<6 months,Fashion,Fashion Accessory,Loved it,Necklace,Hat,Handbag,Subscription Service
Female,60,Single,Very High,Birthday,Adventurous,5+ years,Cooking,Personalized Gift,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Male,48,Married,Medium,Birthday,Sentimental,3-5 years,Technology,Chocolates,Loved it,Headphones,Phone Charger,Smart Speaker,Tech Gadget
Other,45,Dating,Low,Just Because,Surprise,3-5 years,Music,Chocolates,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Other,60,Dating,Medium,Just Because,Surprise,6-12 months,Fashion,Chocolates,Loved it,Handbag,Earrings,Necklace,Subscription Service
Other,60,Engaged,Medium,Just Because,Practical,1-3 years,Cooking,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Male,23,Engaged,Very High,Just Because,Practical,6-12 months,Music,Fashion Accessory,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Female,50,Single,Medium,Valentine's Day,Practical,6-12 months,Music,Personalized Gift,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Chocolates
Female,27,Engaged,Medium,Just Because,Practical,5+ years,Fashion,Fashion Accessory,Liked it,Handbag,Earrings,Necklace,Chocolates
Other,24,Dating,High,Just Because,Practical,3-5 years,Art,Fashion Accessory,Liked it,Earrings,Necklace,Hat,Subscription Service
Female,50,Single,Medium,Valentine's Day,Practical,6-12 months,Music,Personalized Gift,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Chocolates
Other,56,Married,High,Valentine's Day,Romantic,<6 months,Music,Personalized Gift,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,42,Dating,High,Anniversary,Romantic,1-3 years,Music,Subscription Service,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Flowers
Male,60,Dating,Medium,Just Because,Adventurous,5+ years,Cooking,Fashion Accessory,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Female,48,Married,High,Just Because,Romantic,3-5 years,Art,Chocolates,Loved it,Necklace,Hat,Handbag,Flowers
Male,29,Dating,Very High,Anniversary,Practical,3-5 years,Sports,Personalized Gift,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,25,Married,High,Birthday,Sentimental,6-12 months,Fashion,Tech Gadget,Liked it,Hat,Handbag,Earrings,Fashion Accessory
Male,29,Dating,Very High,Birthday,Romantic,<6 months,Music,Tech Gadget,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Other,38,Engaged,Medium,Just Because,Sentimental,5+ years,Music,Personalized Gift,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Male,27,Engaged,Very High,Just Because,Practical,5+ years,Sports,Fashion Accessory,Liked it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Other,42,Engaged,Very High,Birthday,Romantic,1-3 years,Cooking,Fashion Accessory,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Other,42,Married,Medium,Just Because,Romantic,1-3 years,Music,Personalized Gift,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Female,48,Married,High,Just Because,Romantic,3-5 years,Art,Chocolates,Loved it,Necklace,Hat,Handbag,Flowers
Male,44,Dating,High,Just Because,Sentimental,3-5 years,Art,Chocolates,Loved it,Handbag,Earrings,Necklace,Fashion Accessory
Male,58,Engaged,High,Anniversary,Surprise,6-12 months,Technology,Personalized Gift,Loved it,Headphones,Phone Charger,Smart Speaker,Tech Gadget
Other,42,Engaged,High,Just Because,Sentimental,3-5 years,Fashion,Tech Gadget,Loved it,Earrings,Necklace,Hat,Subscription Service
Female,50,Married,Very High,Valentine's Day,Practical,6-12 months,Art,Chocolates,Loved it,Necklace,Hat,Handbag,Personalized Gift
Other,29,Single,Medium,Just Because,Adventurous,<6 months,Sports,Chocolates,Disliked it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,56,Married,Very High,Birthday,Practical,<6 months,Technology,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Male,51,Single,Low,Just Because,Surprise,1-3 years,Cooking,Subscription Service,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Other,60,Dating,High,Valentine's Day,Practical,5+ years,Music,Tech Gadget,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Male,49,Single,Medium,Valentine's Day,Practical,6-12 months,Sports,Flowers,Liked it,Processor Chip,Headphones,Phone Charger,Chocolates
Male,56,Single,Low,Just Because,Adventurous,3-5 years,Fashion,Chocolates,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Female,21,Dating,Low,Anniversary,Sentimental,1-3 years,Sports,Fashion Accessory,Liked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Male,59,Engaged,High,Valentine's Day,Sentimental,1-3 years,Fashion,Subscription Service,Liked it,Necklace,Hat,Handbag,Fashion Accessory
Male,45,Single,Medium,Birthday,Surprise,5+ years,Fashion,Chocolates,Loved it,Earrings,Necklace,Hat,Fashion Accessory
Male,53,Engaged,High,Valentine's Day,Surprise,5+ years,Art,Subscription Service,Liked it,Necklace,Hat,Handbag,Fashion Accessory
Other,50,Engaged,Medium,Just Because,Practical,3-5 years,Music,Flowers,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Female,48,Single,Very High,Valentine's Day,Practical,<6 months,Fashion,Tech Gadget,Loved it,Earrings,Necklace,Hat,Personalized Gift
Female,34,Engaged,Very High,Valentine's Day,Romantic,6-12 months,Music,Fashion Accessory,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Other,52,Dating,Very High,Valentine's Day,Sentimental,<6 months,Music,Chocolates,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Female,29,Single,Low,Anniversary,Adventurous,1-3 years,Fashion,Personalized Gift,Liked it,Earrings,Necklace,Hat,Fashion Accessory
Female,30,Dating,High,Anniversary,Sentimental,1-3 years,Music,Tech Gadget,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Female,60,Engaged,Very High,Birthday,Surprise,1-3 years,Fashion,Flowers,Liked it,Handbag,Earrings,Necklace,Personalized Gift
Female,56,Single,High,Just Because,Romantic,3-5 years,Cooking,Subscription Service,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Flowers
Female,20,Single,Very High,Just Because,Sentimental,6-12 months,Art,Tech Gadget,Liked it,Earrings,Necklace,Hat,Personalized Gift
Female,29,Engaged,Low,Birthday,Romantic,1-3 years,Fashion,Personalized Gift,Loved it,Hat,Handbag,Earrings,Flowers
Female,20,Single,Very High,Anniversary,Surprise,5+ years,Art,Fashion Accessory,Disliked it,Handbag,Earrings,Necklace,Personalized Gift
Other,46,Dating,Medium,Birthday,Romantic,5+ years,Cooking,Personalized Gift,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Male,31,Engaged,Low,Valentine's Day,Adventurous,5+ years,Cooking,Flowers,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Male,60,Dating,Very High,Valentine's Day,Surprise,<6 months,Music,Tech Gadget,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Male,59,Dating,Very High,Valentine's Day,Practical,<6 months,Sports,Flowers,Disliked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,47,Married,Very High,Just Because,Romantic,1-3 years,Technology,Personalized Gift,Loved it,Processor Chip,Headphones,Phone Charger,Subscription Service
Male,42,Engaged,Medium,Valentine's Day,Sentimental,6-12 months,Music,Subscription Service,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Female,36,Single,Low,Birthday,Adventurous,<6 months,Music,Flowers,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Fashion Accessory
Other,26,Single,Very High,Birthday,Adventurous,1-3 years,Technology,Tech Gadget,Liked it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Other,26,Dating,Very High,Valentine's Day,Sentimental,5+ years,Music,Fashion Accessory,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Female,56,Married,Low,Birthday,Romantic,6-12 months,Technology,Subscription Service,Loved it,Phone Charger,Smart Speaker,Processor Chip,Flowers
Female,49,Dating,Very High,Valentine's Day,Sentimental,5+ years,Cooking,Subscription Service,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Other,60,Dating,High,Valentine's Day,Practical,1-3 years,Fashion,Tech Gadget,Loved it,Earrings,Necklace,Hat,Subscription Service
