Recipient_Gender,Recipient_Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Special_Note,Gift_Popularity,Gift_Purpose,Past_Gift_Reaction,Delivery_Method,Gift_Wrapping_Preference,Best_Gift
Female,47,Married,High ($100-$500),Long-Distance Valentine,Fun,<6 months,Cooking,Has allergies,Moderately Popular,Apology,Highly Appreciated,Planned Surprise,Fancy Wrapping,Fashion Accessories
Non-Binary,44,Married,Medium ($20-$100),Casual Valentine,Romantic,3+ years,Cooking,Tech-savvy,Moderately Popular,Expression of Love,Disliked,Courier,Fancy Wrapping,Chocolates
Non-Binary,26,Dating,Low (<$20),Long-Distance Valentine,Sentimental,<6 months,Sports,Has allergies,Very Popular,Celebration,Highly Appreciated,In-Person,Minimalist,Chocolates
Male,36,Complicated,Luxury (>$500),Casual Valentine,Romantic,3+ years,Technology,Prefers practical gifts,Very Popular,Celebration,Neutral,Planned Surprise,Minimalist,Flowers
Non-Binary,18,Married,Low (<$20),Anniversary Valentine,Sentimental,6 months - 1 year,Reading,Enjoys luxury items,Moderately Popular,Celebration,Neutral,Planned Surprise,Eco-Friendly,Chocolates
Male,33,Single,Luxury (>$500),Casual Valentine,Surprise,1-3 years,Art,Has allergies,Moderately Popular,Apology,Neutral,In-Person,Minimalist,Fashion Accessories
Other,59,Married,Luxury (>$500),Casual Valentine,Luxury,1-3 years,Technology,Prefers practical gifts,Rare Choice,Expression of Love,Disliked,In-Person,Minimalist,Tech Gadgets
Male,54,Engaged,Low (<$20),Casual Valentine,Luxury,1-3 years,Travel,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Neutral,In-Person,Minimalist,Personalized Gift
Female,59,Dating,Medium ($20-$100),Long-Distance Valentine,Surprise,<6 months,Fashion,Tech-savvy,Moderately Popular,Celebration,Neutral,Courier,No Wrapping,Jewelry
Female,58,Dating,Low (<$20),Long-Distance Valentine,Practical,<6 months,Music,Loves surprises,Moderately Popular,Apology,Highly Appreciated,In-Person,No Wrapping,"Experience (Trip, Dinner, etc.)"
Non-Binary,33,Complicated,High ($100-$500),Casual Valentine,Romantic,3+ years,Fashion,Handmade gifts appreciated,Very Popular,Apology,Disliked,Courier,Minimalist,Handmade Gift
Non-Binary,57,Single,Medium ($20-$100),Anniversary Valentine,Surprise,<6 months,Reading,Tech-savvy,Rare Choice,Celebration,Highly Appreciated,Courier,Fancy Wrapping,Personalized Gift
Male,56,Dating,Luxury (>$500),Casual Valentine,Sentimental,3+ years,Technology,Enjoys luxury items,Moderately Popular,Spontaneous Surprise,Neutral,Courier,No Wrapping,Tech Gadgets
Other,34,Single,Low (<$20),Long-Distance Valentine,Luxury,3+ years,Travel,Tech-savvy,Moderately Popular,Spontaneous Surprise,Neutral,Planned Surprise,Eco-Friendly,Handmade Gift
Other,59,Dating,Low (<$20),Anniversary Valentine,Romantic,<6 months,Fashion,Loves surprises,Moderately Popular,Expression of Love,Never Given Gift Before,Courier,No Wrapping,Flowers
Male,25,Complicated,Medium ($20-$100),Long-Distance Valentine,Practical,3+ years,Sports,Prefers practical gifts,Very Popular,Spontaneous Surprise,Disliked,Online Delivery,Minimalist,Perfume
Female,42,Complicated,High ($100-$500),Casual Valentine,Practical,1-3 years,Technology,Loves surprises,Very Popular,Expression of Love,Disliked,Online Delivery,Fancy Wrapping,Flowers
Male,44,Single,Medium ($20-$100),Anniversary Valentine,Practical,6 months - 1 year,Reading,Loves surprises,Moderately Popular,Apology,Disliked,In-Person,No Wrapping,Fashion Accessories
Female,55,Married,Low (<$20),Anniversary Valentine,Fun,1-3 years,Cooking,Loves surprises,Moderately Popular,Celebration,Highly Appreciated,Online Delivery,Minimalist,Subscription Service
Male,34,Married,High ($100-$500),Anniversary Valentine,Surprise,3+ years,Fashion,Tech-savvy,Rare Choice,Celebration,Highly Appreciated,Courier,Eco-Friendly,Subscription Service
Other,52,Complicated,Luxury (>$500),Casual Valentine,Sentimental,<6 months,Cooking,Loves surprises,Rare Choice,Apology,Disliked,Online Delivery,Minimalist,Perfume
Other,25,Married,Medium ($20-$100),Anniversary Valentine,Luxury,3+ years,Fitness,Handmade gifts appreciated,Very Popular,Apology,Never Given Gift Before,Courier,Fancy Wrapping,Jewelry
Other,19,Married,Low (<$20),Long-Distance Valentine,Luxury,6 months - 1 year,Cooking,Prefers experiences over items,Very Popular,Expression of Love,Never Given Gift Before,Online Delivery,No Wrapping,Personalized Gift
Male,24,Married,Low (<$20),First Valentine,Fun,3+ years,Reading,Has allergies,Moderately Popular,Apology,Disliked,Planned Surprise,Minimalist,Chocolates
Female,47,Engaged,Low (<$20),Long-Distance Valentine,Practical,1-3 years,Music,Enjoys luxury items,Moderately Popular,Expression of Love,Never Given Gift Before,Online Delivery,Minimalist,Jewelry
Male,41,Dating,Medium ($20-$100),Anniversary Valentine,Surprise,1-3 years,Sports,Tech-savvy,Moderately Popular,Celebration,Disliked,Planned Surprise,Fancy Wrapping,Fashion Accessories
Non-Binary,57,Engaged,Low (<$20),First Valentine,Sentimental,1-3 years,Fashion,Prefers practical gifts,Moderately Popular,Expression of Love,Neutral,Courier,Eco-Friendly,Tech Gadgets
Female,24,Engaged,Low (<$20),Casual Valentine,Sentimental,3+ years,Music,Has allergies,Moderately Popular,Apology,Neutral,In-Person,Fancy Wrapping,Handmade Gift
Non-Binary,33,Single,Medium ($20-$100),Casual Valentine,Luxury,6 months - 1 year,Music,Handmade gifts appreciated,Rare Choice,Celebration,Highly Appreciated,In-Person,Fancy Wrapping,Handmade Gift
Non-Binary,33,Engaged,High ($100-$500),Anniversary Valentine,Practical,<6 months,Gaming,Tech-savvy,Rare Choice,Celebration,Neutral,Courier,No Wrapping,Fashion Accessories
Female,41,Married,Low (<$20),Casual Valentine,Surprise,6 months - 1 year,Cooking,Loves surprises,Very Popular,Celebration,Highly Appreciated,Online Delivery,Eco-Friendly,Chocolates
Male,31,Single,Medium ($20-$100),Anniversary Valentine,Romantic,1-3 years,Gaming,Enjoys luxury items,Very Popular,Expression of Love,Neutral,Courier,No Wrapping,Handmade Gift
Non-Binary,58,Single,Low (<$20),Anniversary Valentine,Sentimental,6 months - 1 year,Fitness,Loves surprises,Moderately Popular,Expression of Love,Neutral,Planned Surprise,Minimalist,"Experience (Trip, Dinner, etc.)"
Other,22,Married,Medium ($20-$100),Casual Valentine,Sentimental,<6 months,Technology,Handmade gifts appreciated,Very Popular,Apology,Neutral,Planned Surprise,No Wrapping,Personalized Gift
Non-Binary,57,Engaged,High ($100-$500),Anniversary Valentine,Practical,1-3 years,Fitness,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Disliked,Courier,Minimalist,Tech Gadgets
Non-Binary,25,Dating,Medium ($20-$100),Casual Valentine,Fun,6 months - 1 year,Technology,Loves surprises,Moderately Popular,Spontaneous Surprise,Disliked,Courier,Minimalist,Flowers
Male,53,Complicated,Low (<$20),First Valentine,Practical,3+ years,Technology,Handmade gifts appreciated,Moderately Popular,Celebration,Never Given Gift Before,Planned Surprise,Eco-Friendly,Handmade Gift
Male,43,Engaged,Luxury (>$500),First Valentine,Romantic,6 months - 1 year,Reading,Has allergies,Very Popular,Expression of Love,Neutral,Planned Surprise,Minimalist,Jewelry
Female,58,Engaged,Medium ($20-$100),Casual Valentine,Romantic,3+ years,Fashion,Has allergies,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Online Delivery,No Wrapping,Subscription Service
Male,55,Married,Low (<$20),First Valentine,Luxury,<6 months,Travel,Handmade gifts appreciated,Rare Choice,Celebration,Disliked,Planned Surprise,Fancy Wrapping,Handmade Gift
Non-Binary,43,Married,Luxury (>$500),First Valentine,Sentimental,3+ years,Travel,Enjoys luxury items,Moderately Popular,Celebration,Highly Appreciated,Planned Surprise,Fancy Wrapping,Jewelry
Other,54,Engaged,Low (<$20),Long-Distance Valentine,Practical,3+ years,Sports,Handmade gifts appreciated,Very Popular,Expression of Love,Disliked,In-Person,No Wrapping,"Experience (Trip, Dinner, etc.)"
Male,32,Single,High ($100-$500),Anniversary Valentine,Surprise,3+ years,Fashion,Enjoys luxury items,Very Popular,Celebration,Highly Appreciated,In-Person,Eco-Friendly,Fashion Accessories
Female,34,Married,Low (<$20),First Valentine,Fun,6 months - 1 year,Fitness,Handmade gifts appreciated,Rare Choice,Apology,Disliked,In-Person,Eco-Friendly,Fashion Accessories
Female,27,Complicated,Luxury (>$500),Long-Distance Valentine,Luxury,6 months - 1 year,Fashion,Handmade gifts appreciated,Moderately Popular,Celebration,Never Given Gift Before,Courier,No Wrapping,Handmade Gift
Male,38,Dating,High ($100-$500),Long-Distance Valentine,Luxury,6 months - 1 year,Art,Loves surprises,Rare Choice,Apology,Disliked,Courier,Eco-Friendly,Jewelry
Female,42,Complicated,Low (<$20),First Valentine,Romantic,<6 months,Fashion,Enjoys luxury items,Rare Choice,Expression of Love,Disliked,In-Person,Eco-Friendly,Perfume
Female,42,Dating,Low (<$20),First Valentine,Fun,6 months - 1 year,Gaming,Tech-savvy,Very Popular,Expression of Love,Never Given Gift Before,Online Delivery,Minimalist,Flowers
Other,22,Single,Luxury (>$500),Anniversary Valentine,Romantic,6 months - 1 year,Travel,Loves surprises,Very Popular,Apology,Disliked,Online Delivery,No Wrapping,Jewelry
Other,22,Complicated,High ($100-$500),Anniversary Valentine,Romantic,6 months - 1 year,Reading,Prefers practical gifts,Very Popular,Celebration,Neutral,In-Person,Eco-Friendly,Tech Gadgets
Male,48,Married,Medium ($20-$100),First Valentine,Fun,6 months - 1 year,Sports,Handmade gifts appreciated,Moderately Popular,Celebration,Neutral,In-Person,No Wrapping,Chocolates
Other,19,Engaged,High ($100-$500),Casual Valentine,Practical,3+ years,Reading,Enjoys luxury items,Rare Choice,Celebration,Highly Appreciated,Online Delivery,Fancy Wrapping,Jewelry
Female,29,Engaged,Low (<$20),Long-Distance Valentine,Sentimental,3+ years,Reading,Has allergies,Rare Choice,Celebration,Disliked,Online Delivery,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,43,Complicated,Medium ($20-$100),First Valentine,Romantic,1-3 years,Reading,Has allergies,Very Popular,Expression of Love,Never Given Gift Before,In-Person,Fancy Wrapping,Jewelry
Male,19,Engaged,High ($100-$500),Anniversary Valentine,Fun,6 months - 1 year,Sports,Loves surprises,Very Popular,Apology,Never Given Gift Before,Courier,Eco-Friendly,Chocolates
Male,18,Married,High ($100-$500),Casual Valentine,Luxury,3+ years,Gaming,Enjoys luxury items,Rare Choice,Expression of Love,Disliked,Courier,Fancy Wrapping,Personalized Gift
Other,21,Married,Medium ($20-$100),Anniversary Valentine,Sentimental,3+ years,Technology,Prefers experiences over items,Rare Choice,Apology,Neutral,Planned Surprise,No Wrapping,"Experience (Trip, Dinner, etc.)"
Other,38,Engaged,Luxury (>$500),Long-Distance Valentine,Sentimental,<6 months,Fitness,Prefers experiences over items,Rare Choice,Spontaneous Surprise,Disliked,Courier,Fancy Wrapping,Perfume
Non-Binary,25,Single,Low (<$20),First Valentine,Practical,6 months - 1 year,Reading,Tech-savvy,Rare Choice,Spontaneous Surprise,Neutral,Online Delivery,Minimalist,Fashion Accessories
Female,21,Complicated,Luxury (>$500),Long-Distance Valentine,Luxury,6 months - 1 year,Reading,Has allergies,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,No Wrapping,Subscription Service
Other,36,Complicated,Luxury (>$500),Anniversary Valentine,Practical,6 months - 1 year,Sports,Loves surprises,Moderately Popular,Celebration,Never Given Gift Before,Online Delivery,Fancy Wrapping,Fashion Accessories
Female,52,Complicated,Luxury (>$500),First Valentine,Romantic,6 months - 1 year,Gaming,Has allergies,Moderately Popular,Spontaneous Surprise,Neutral,Courier,Minimalist,Perfume
Non-Binary,25,Dating,High ($100-$500),First Valentine,Romantic,6 months - 1 year,Fashion,Has allergies,Rare Choice,Apology,Highly Appreciated,Planned Surprise,No Wrapping,Subscription Service
Other,25,Single,High ($100-$500),First Valentine,Fun,6 months - 1 year,Fashion,Loves surprises,Very Popular,Celebration,Never Given Gift Before,Online Delivery,Minimalist,Chocolates
Non-Binary,35,Dating,Medium ($20-$100),Long-Distance Valentine,Practical,1-3 years,Cooking,Prefers experiences over items,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Fancy Wrapping,Perfume
Male,34,Dating,High ($100-$500),Casual Valentine,Luxury,1-3 years,Art,Has allergies,Rare Choice,Apology,Disliked,Online Delivery,Eco-Friendly,Subscription Service
Male,56,Married,Medium ($20-$100),Anniversary Valentine,Luxury,1-3 years,Fashion,Prefers practical gifts,Very Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,No Wrapping,Jewelry
Other,38,Engaged,High ($100-$500),Long-Distance Valentine,Surprise,6 months - 1 year,Sports,Prefers practical gifts,Moderately Popular,Apology,Never Given Gift Before,In-Person,Eco-Friendly,Jewelry
Male,25,Engaged,High ($100-$500),Casual Valentine,Sentimental,3+ years,Travel,Loves surprises,Rare Choice,Expression of Love,Neutral,In-Person,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Non-Binary,28,Single,Luxury (>$500),Casual Valentine,Practical,3+ years,Reading,Loves surprises,Very Popular,Spontaneous Surprise,Never Given Gift Before,Courier,Fancy Wrapping,Flowers
Female,46,Dating,Medium ($20-$100),Long-Distance Valentine,Sentimental,6 months - 1 year,Fashion,Loves surprises,Rare Choice,Celebration,Disliked,Online Delivery,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Male,47,Engaged,Medium ($20-$100),Casual Valentine,Practical,6 months - 1 year,Fitness,Tech-savvy,Moderately Popular,Celebration,Never Given Gift Before,Planned Surprise,No Wrapping,Handmade Gift
Other,59,Married,High ($100-$500),Casual Valentine,Romantic,<6 months,Cooking,Prefers experiences over items,Rare Choice,Apology,Disliked,In-Person,Eco-Friendly,Flowers
Non-Binary,55,Dating,High ($100-$500),First Valentine,Fun,6 months - 1 year,Music,Has allergies,Moderately Popular,Expression of Love,Disliked,In-Person,No Wrapping,Chocolates
Female,54,Complicated,High ($100-$500),Long-Distance Valentine,Luxury,1-3 years,Gaming,Enjoys luxury items,Rare Choice,Celebration,Never Given Gift Before,In-Person,Fancy Wrapping,Handmade Gift
Male,32,Single,High ($100-$500),First Valentine,Sentimental,3+ years,Sports,Prefers practical gifts,Very Popular,Apology,Never Given Gift Before,Courier,Fancy Wrapping,Fashion Accessories
Other,51,Single,Luxury (>$500),Casual Valentine,Luxury,1-3 years,Sports,Tech-savvy,Moderately Popular,Celebration,Disliked,Planned Surprise,No Wrapping,Handmade Gift
Female,37,Single,Low (<$20),Long-Distance Valentine,Fun,6 months - 1 year,Cooking,Enjoys luxury items,Very Popular,Apology,Never Given Gift Before,Planned Surprise,No Wrapping,Fashion Accessories
Female,43,Dating,Low (<$20),Anniversary Valentine,Surprise,3+ years,Sports,Loves surprises,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Minimalist,Fashion Accessories
Other,56,Married,Medium ($20-$100),Long-Distance Valentine,Luxury,3+ years,Technology,Prefers practical gifts,Rare Choice,Apology,Highly Appreciated,In-Person,Fancy Wrapping,Perfume
Female,56,Engaged,Low (<$20),Long-Distance Valentine,Practical,6 months - 1 year,Gaming,Prefers experiences over items,Very Popular,Celebration,Disliked,In-Person,Fancy Wrapping,Jewelry
Other,47,Single,Medium ($20-$100),First Valentine,Practical,<6 months,Technology,Tech-savvy,Rare Choice,Apology,Neutral,In-Person,Minimalist,Flowers
Non-Binary,43,Dating,Low (<$20),First Valentine,Fun,<6 months,Sports,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Courier,Fancy Wrapping,Fashion Accessories
Other,21,Single,High ($100-$500),First Valentine,Romantic,3+ years,Music,Enjoys luxury items,Moderately Popular,Celebration,Neutral,In-Person,Eco-Friendly,Jewelry
Male,18,Married,Low (<$20),Long-Distance Valentine,Fun,<6 months,Fitness,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Eco-Friendly,Personalized Gift
Non-Binary,48,Dating,High ($100-$500),First Valentine,Surprise,6 months - 1 year,Fitness,Prefers experiences over items,Very Popular,Celebration,Never Given Gift Before,In-Person,Fancy Wrapping,Tech Gadgets
Male,57,Single,Medium ($20-$100),First Valentine,Luxury,3+ years,Music,Has allergies,Moderately Popular,Expression of Love,Highly Appreciated,Courier,Minimalist,Fashion Accessories
Other,30,Dating,Luxury (>$500),Anniversary Valentine,Surprise,3+ years,Music,Handmade gifts appreciated,Very Popular,Celebration,Highly Appreciated,Planned Surprise,No Wrapping,Personalized Gift
Other,59,Dating,Medium ($20-$100),Anniversary Valentine,Surprise,3+ years,Gaming,Handmade gifts appreciated,Rare Choice,Expression of Love,Disliked,Online Delivery,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Other,37,Single,Luxury (>$500),Casual Valentine,Surprise,3+ years,Art,Enjoys luxury items,Rare Choice,Apology,Highly Appreciated,Online Delivery,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Non-Binary,34,Complicated,Low (<$20),Casual Valentine,Fun,3+ years,Sports,Prefers experiences over items,Very Popular,Apology,Highly Appreciated,Courier,Fancy Wrapping,Tech Gadgets
Female,58,Engaged,Medium ($20-$100),First Valentine,Romantic,1-3 years,Reading,Prefers experiences over items,Very Popular,Expression of Love,Highly Appreciated,In-Person,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Non-Binary,18,Engaged,Luxury (>$500),First Valentine,Romantic,1-3 years,Gaming,Has allergies,Rare Choice,Celebration,Disliked,Online Delivery,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Male,36,Complicated,High ($100-$500),Casual Valentine,Sentimental,1-3 years,Fitness,Loves surprises,Very Popular,Expression of Love,Neutral,Planned Surprise,No Wrapping,Personalized Gift
Male,50,Engaged,Low (<$20),Long-Distance Valentine,Surprise,6 months - 1 year,Travel,Tech-savvy,Rare Choice,Expression of Love,Never Given Gift Before,In-Person,No Wrapping,Jewelry
Non-Binary,40,Single,Low (<$20),Casual Valentine,Fun,6 months - 1 year,Travel,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Disliked,In-Person,Eco-Friendly,Subscription Service
Non-Binary,53,Complicated,Medium ($20-$100),First Valentine,Fun,1-3 years,Fitness,Loves surprises,Moderately Popular,Apology,Never Given Gift Before,Courier,Minimalist,Tech Gadgets
Female,18,Single,Luxury (>$500),Casual Valentine,Sentimental,6 months - 1 year,Reading,Handmade gifts appreciated,Rare Choice,Celebration,Never Given Gift Before,Planned Surprise,No Wrapping,Subscription Service
Non-Binary,21,Complicated,High ($100-$500),First Valentine,Romantic,<6 months,Fashion,Prefers experiences over items,Very Popular,Expression of Love,Disliked,Planned Surprise,Eco-Friendly,Flowers
Non-Binary,57,Engaged,Medium ($20-$100),Casual Valentine,Sentimental,<6 months,Travel,Enjoys luxury items,Rare Choice,Celebration,Neutral,Online Delivery,Eco-Friendly,Flowers
Male,45,Engaged,Luxury (>$500),Casual Valentine,Romantic,1-3 years,Fashion,Tech-savvy,Very Popular,Expression of Love,Highly Appreciated,In-Person,Minimalist,Jewelry
Other,19,Engaged,Low (<$20),Casual Valentine,Practical,6 months - 1 year,Reading,Enjoys luxury items,Rare Choice,Celebration,Never Given Gift Before,Planned Surprise,Minimalist,Handmade Gift
Other,18,Complicated,Medium ($20-$100),Casual Valentine,Romantic,3+ years,Sports,Prefers experiences over items,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,Fancy Wrapping,Chocolates
Non-Binary,45,Dating,Low (<$20),Casual Valentine,Fun,6 months - 1 year,Reading,Prefers practical gifts,Rare Choice,Celebration,Highly Appreciated,Courier,Minimalist,Tech Gadgets
Non-Binary,41,Complicated,Low (<$20),First Valentine,Fun,<6 months,Technology,Enjoys luxury items,Rare Choice,Spontaneous Surprise,Disliked,Courier,Fancy Wrapping,Perfume
Non-Binary,34,Dating,Low (<$20),Anniversary Valentine,Surprise,6 months - 1 year,Art,Tech-savvy,Rare Choice,Celebration,Highly Appreciated,In-Person,Minimalist,Subscription Service
Non-Binary,45,Complicated,High ($100-$500),Casual Valentine,Romantic,3+ years,Fitness,Has allergies,Rare Choice,Apology,Highly Appreciated,Courier,Eco-Friendly,Perfume
Female,44,Single,Luxury (>$500),First Valentine,Practical,6 months - 1 year,Travel,Loves surprises,Very Popular,Apology,Neutral,Planned Surprise,Minimalist,Tech Gadgets
Female,45,Married,High ($100-$500),Long-Distance Valentine,Romantic,1-3 years,Art,Prefers practical gifts,Rare Choice,Celebration,Highly Appreciated,Courier,Eco-Friendly,Jewelry
Other,39,Single,Low (<$20),Anniversary Valentine,Luxury,1-3 years,Music,Has allergies,Very Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Fancy Wrapping,Jewelry
Other,57,Complicated,High ($100-$500),Casual Valentine,Surprise,<6 months,Technology,Has allergies,Rare Choice,Apology,Never Given Gift Before,Online Delivery,Minimalist,Subscription Service
Male,21,Single,Medium ($20-$100),Casual Valentine,Surprise,6 months - 1 year,Music,Has allergies,Rare Choice,Celebration,Never Given Gift Before,Courier,Eco-Friendly,Personalized Gift
Female,57,Dating,Luxury (>$500),First Valentine,Practical,1-3 years,Technology,Prefers practical gifts,Rare Choice,Celebration,Neutral,Online Delivery,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Female,21,Engaged,Luxury (>$500),Anniversary Valentine,Luxury,1-3 years,Reading,Loves surprises,Very Popular,Spontaneous Surprise,Neutral,Online Delivery,Minimalist,Chocolates
Non-Binary,38,Engaged,Medium ($20-$100),Casual Valentine,Fun,1-3 years,Travel,Tech-savvy,Very Popular,Apology,Never Given Gift Before,Courier,Minimalist,Chocolates
Male,42,Complicated,Medium ($20-$100),Long-Distance Valentine,Sentimental,1-3 years,Music,Tech-savvy,Very Popular,Spontaneous Surprise,Neutral,Courier,Fancy Wrapping,Fashion Accessories
Male,41,Complicated,High ($100-$500),Long-Distance Valentine,Practical,3+ years,Fashion,Tech-savvy,Very Popular,Spontaneous Surprise,Never Given Gift Before,Online Delivery,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Non-Binary,49,Engaged,Medium ($20-$100),Casual Valentine,Romantic,1-3 years,Reading,Loves surprises,Moderately Popular,Apology,Neutral,Online Delivery,Minimalist,Tech Gadgets
Female,34,Complicated,Luxury (>$500),First Valentine,Sentimental,3+ years,Gaming,Prefers practical gifts,Rare Choice,Celebration,Neutral,Online Delivery,Fancy Wrapping,Chocolates
Other,46,Complicated,Luxury (>$500),Anniversary Valentine,Fun,<6 months,Art,Has allergies,Rare Choice,Spontaneous Surprise,Neutral,Courier,Fancy Wrapping,Jewelry
Male,31,Complicated,Low (<$20),Anniversary Valentine,Luxury,3+ years,Music,Loves surprises,Rare Choice,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Perfume
Female,29,Engaged,Low (<$20),First Valentine,Surprise,<6 months,Technology,Has allergies,Very Popular,Celebration,Highly Appreciated,Online Delivery,Fancy Wrapping,Jewelry
Non-Binary,34,Married,High ($100-$500),Casual Valentine,Romantic,6 months - 1 year,Fitness,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Male,19,Dating,Low (<$20),Casual Valentine,Sentimental,6 months - 1 year,Fashion,Enjoys luxury items,Moderately Popular,Celebration,Neutral,Planned Surprise,Eco-Friendly,Fashion Accessories
Non-Binary,55,Complicated,Medium ($20-$100),Casual Valentine,Practical,6 months - 1 year,Gaming,Loves surprises,Moderately Popular,Celebration,Disliked,Planned Surprise,Fancy Wrapping,Jewelry
Male,56,Single,High ($100-$500),Long-Distance Valentine,Luxury,1-3 years,Sports,Has allergies,Very Popular,Celebration,Neutral,Courier,Eco-Friendly,Fashion Accessories
Female,21,Single,Medium ($20-$100),Long-Distance Valentine,Surprise,1-3 years,Cooking,Loves surprises,Rare Choice,Expression of Love,Disliked,Planned Surprise,Minimalist,Fashion Accessories
Male,58,Single,Low (<$20),Long-Distance Valentine,Sentimental,3+ years,Art,Enjoys luxury items,Rare Choice,Spontaneous Surprise,Neutral,In-Person,Eco-Friendly,Fashion Accessories
Male,58,Single,Medium ($20-$100),Anniversary Valentine,Practical,1-3 years,Fitness,Has allergies,Moderately Popular,Celebration,Neutral,Online Delivery,Eco-Friendly,Tech Gadgets
Non-Binary,36,Complicated,High ($100-$500),Anniversary Valentine,Romantic,1-3 years,Music,Tech-savvy,Moderately Popular,Expression of Love,Disliked,Courier,Eco-Friendly,Personalized Gift
Male,18,Engaged,High ($100-$500),First Valentine,Sentimental,1-3 years,Travel,Tech-savvy,Very Popular,Apology,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Perfume
Female,56,Complicated,Medium ($20-$100),Casual Valentine,Romantic,6 months - 1 year,Art,Prefers experiences over items,Rare Choice,Expression of Love,Highly Appreciated,Planned Surprise,Eco-Friendly,Jewelry
Non-Binary,32,Complicated,Medium ($20-$100),Casual Valentine,Fun,6 months - 1 year,Sports,Handmade gifts appreciated,Very Popular,Celebration,Disliked,In-Person,Eco-Friendly,Fashion Accessories
Non-Binary,47,Married,Medium ($20-$100),Long-Distance Valentine,Fun,3+ years,Fitness,Loves surprises,Rare Choice,Spontaneous Surprise,Neutral,Online Delivery,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,33,Complicated,Low (<$20),Anniversary Valentine,Fun,<6 months,Technology,Prefers practical gifts,Very Popular,Expression of Love,Disliked,Courier,Fancy Wrapping,Perfume
Non-Binary,29,Dating,Low (<$20),Casual Valentine,Sentimental,6 months - 1 year,Reading,Has allergies,Very Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,No Wrapping,Personalized Gift
Non-Binary,55,Married,Medium ($20-$100),Anniversary Valentine,Surprise,6 months - 1 year,Sports,Enjoys luxury items,Very Popular,Expression of Love,Neutral,Planned Surprise,No Wrapping,Chocolates
Male,53,Married,Luxury (>$500),First Valentine,Luxury,3+ years,Reading,Handmade gifts appreciated,Moderately Popular,Apology,Disliked,Online Delivery,Eco-Friendly,Subscription Service
Non-Binary,57,Complicated,Medium ($20-$100),First Valentine,Romantic,6 months - 1 year,Gaming,Loves surprises,Rare Choice,Celebration,Never Given Gift Before,Courier,No Wrapping,Flowers
Non-Binary,44,Married,Luxury (>$500),Long-Distance Valentine,Luxury,6 months - 1 year,Travel,Loves surprises,Moderately Popular,Apology,Never Given Gift Before,Courier,Eco-Friendly,Perfume
Male,57,Single,Luxury (>$500),Casual Valentine,Surprise,6 months - 1 year,Sports,Handmade gifts appreciated,Very Popular,Expression of Love,Never Given Gift Before,Courier,No Wrapping,Subscription Service
Non-Binary,41,Married,High ($100-$500),Casual Valentine,Fun,1-3 years,Technology,Enjoys luxury items,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Online Delivery,Fancy Wrapping,Perfume
Male,30,Single,High ($100-$500),First Valentine,Practical,6 months - 1 year,Gaming,Enjoys luxury items,Very Popular,Expression of Love,Disliked,Planned Surprise,No Wrapping,Jewelry
Male,54,Married,Luxury (>$500),First Valentine,Fun,6 months - 1 year,Sports,Prefers experiences over items,Moderately Popular,Celebration,Neutral,Online Delivery,No Wrapping,Jewelry
Non-Binary,57,Married,Medium ($20-$100),Anniversary Valentine,Surprise,6 months - 1 year,Gaming,Enjoys luxury items,Rare Choice,Apology,Never Given Gift Before,In-Person,Eco-Friendly,Jewelry
Female,38,Married,Luxury (>$500),First Valentine,Luxury,3+ years,Technology,Loves surprises,Very Popular,Apology,Never Given Gift Before,In-Person,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
